PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;;;;;;;;;;;
54;G;dur;25r;Menuet;;;;Conc_4565;3;"[c{a}1] 'b/ ,c ,a ,,d | [,,'c{a}1] ,,c/ ,,d ,a1 | \
[,,,c{,,a}1] [,,ab{,,,a}2] | [,,c{a}/] ,,d ,,c ,,d ,a1 | \
[,,,c{,,a}1] [,,'a{,,,a}2] | [,,'c{a}1]> ,,d ,a1 | ";;;;;;;;;;
55;D;dur;25v;L'ouverture;;;;;C;"[,,aba{,,,a}1] [,,aba/] ,,c [,,a,c{4}] ,,a [,,c{a}] ,,e | \
[,ae,,c/] ,,,b [,c,c] ,a [,,ee,a] ,,,,c [,aa,e] ,,e | \
[,,cc{a}/] ,,,,a [,,e,c] ,,c [,,ac{,a}] ,,,,,e [,,c,a] ,,a | ";;;;;;;;;;
56;D;dur;26v;Allemand;;;;;2;",a1 | [,af{,,,a}2] [,af/] ,,a [,,c{a}] ,,e | [,a{,a}/] ,,a \
[,,c{a}] ,,,b ,,,,a [,,a,e] ,,,c | [,,,ba/] ,,,,c [,,,,'a] \
,,,,,e [,,,ba/] ,,,,,a ,,,,,c ,,,,,e | ";;;;;;;;;;
57;D;dur;27v;Courant;;;;;3;",a/ | [,af{,,,a}1] [,af{,a}/] ,,a [,,c{a}] ,,e | [,af{,,,a}1] \
[,af/] ,,a [,,c{a}] ,,,b | [,,,c{,,a}1] ,,,,a/ ,,,c ,,,,,e \
,,a | [,,ba{,,,a}1] ,,,,a/ ,,,,,a ,,,,,c ,,,,,e | ";;;;;;;;;;
58;D;dur;28v;Gavotta;;;;;2;"[,af{,,,a}1] [,,e{,,a}] [,af{,a}] {,,,a} | [,,c{a}1] [,,a{,a}] \
[,,c{a}] [,,,b{,,,a}] | [,,,c{,,a}1] {,,,a} ,,,c [,,ac{4}/] \
,,,c | [,,,ba{,,,a}1] ,,,,,a [,,,ba1] ,,,,,a | [,,,c,c1] [,,ab,a] \
[,,cc{a}] {,a} | ";;;;;;;;;;
59;D;dur;29r;Sarabanda;;;;;3;"[,,ab{,,,a}/]> ,,a | [,,a,c{4}/] ,,c [,,a,,a] ,,,c {,,,a} \
,,,b | [,,,ba/] ,,,,c ,,,,a ,,,,,e ,,,,,c ,a | [,aa{,a}/] \
,c [,aa{,,,a}] ,,e {a} ,,c | ";;;;;;;;;;
60;D;dur;29v;Guigue;;;;;6/4;",,a/ | [,,aba{,,,a}/] ,,c [,,a{,,,a}] [,,acc{4}] ,,,c \
[,,a{4}] | [,,,ba{,,,a}/] ,,,,c ,,,b [,,,,'a1]> ,,,,,e | \
[,a,,,c/] ,,,,,a ,,,,,c [,c{a}] ,a [,c{a}] | [,,e,,a/] \
,a ,c ,,a1> {a} | ";;;;;;;;;;
61;D;dur;30r;Gavotte;Losy?;;;Conc_3912;C;"[,,aba{,,,a}1] [,,aba/] [,,aba] [,aab{,,,a}1] [,ca,,e] | \
[,ea,a/]> ,e [,'c/] ,a [,ce,,a1] ,,,e/ ,,,,,c | [,ca,,e1] \
,e/ c [,ea,a/]> ,c ,e/> c | ";;;;;;;;;;
62;C;dur;30v;Aria;Losy;;;Conc_504;C;"[h{4}1] [g{,,,a}/] ,h [,f{,,a}1] ,,,h | [ec{,a}1] [,'a/] ,,d \
[,,c{a}1] ,,,c/ ,,,a | [,,dcc1] ,,,,a/ ,,,,,d [,ad,,c1] \
{a}/ ,a | [,c,,,d/] ,a [,c{,a}] a";;;;;;;;;;
63;C;dur;31r;Gavotte;;;;;2;"[ccd{4}1] ,,d/ c | [e{,a}1] ,,d/ e [c{,,a}1] ,,d/ c | \
[a{,,,a}1] ,,c a [,c{4}1] {,,,a}/ ,c | {,,a}/ ,c [,a{,a}] ,,d \
[,,c{a}1] ,,c/ ,,a | ";;;;;;;;;;
