PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Montbuysson
67;c moll;27r;[Ballet / Almain];Robert Ballard;;OT;ConcR801;C;",,d/ ,a | \
[,bd,a1] [,a,c,e] [,,dca] [,,c,ca] | \
[,,dca1] ,,,,a [,,dc] ,,a/ ,,c | \
[,,dca1] [,a,,,e] [,bd,a] [,dd,c] | \
[abb,d1] ,,,c [abb] a/ b |";
68;;27v;Mag nich [aus Venus Schoß];;;OT;ConcR1090;none;"[,acc,a2] [,acc,a] [,acc,a] [,acc,a4] [,bdca2] [,acc,a6] \
[,acc,a2] [,acc,a] [,acc,a] [,acc,a4] [,bdca2] [,acc,a4] \
[aa,c,a2] [cef,c1] ,f ,e ,c ,e ,,f [aacc,a6] ||";
69;;27v;Mein Gmuett [ist mir verwirret];;;OT;ConcR1116;none;"[,aba,d2] [abb,d] [,daa{a}1] [,bcc,a2] [,aba,d1] [,,da{a}2] \
[,aba,d] [cdd{a}] [dab,,d] [da,c,a1] [caa,c2] [caa,c1] \
[aacc,a3] || [da,c1] [cdda] [,da,c] [abb,d] [cdda]";
70;;28r;Sehr grosse Klag [führt Orpheus der Zeit];;;OT;;none;"[aab,,a2] [aab,,a1] [aab,,a] [da,c2] [caa,c] [abb,d1] [,dba,d] \
[,bbcd] [,,dcd] [,aabc4] || [,aba,d2] [,,da{a}1] [,,bc,a] \
[,,abc3] [,da,c1] [,ca,,c] [,aba,d] [,abc,a] [,,ee,c] [,aabc4] |";
71;;28r;Der liebste mein;;;OT;;none;"[,,dca2] [,bdca1] [,a,c,e] [,,dca] ,a/ ,b [,dda{a}] ,b ,a ,,d \
[,,cc,a1] ,,,c [,,dca3/2] [,a,c,e/] [,bbca1] [,dd,,b] \
[aac,,a] ,a [,,dca4] ||";
72;;28v;Euch ihr götter;;;OT;;none;"[,abc,a1] [,bd,a] [,dba,d] [,dd,,c] [aab,,a3/2] [caa{b}/] \
[da,c,a1] [da,c,a] [ccd,,c] [aab,,d] [abd,a] [,ea,c] \
[aacc,a4] [da,c,a1] [caa,c] [abb,d] [,dba,d] [,bdca] [,acc,a] \
[,,d,,b] [,,bc,a]";
73;;28v;Amore Cieco;;;OT;;none;"[abd,a2] [abd,a] [abd,a1] [abd,a2] [cdda1] [dbb,d3] [cdda1] \
[acd,a3] [,bdca1] [,dda] [abb,d] [bbdd3] [abb,d1] [,dba,d] \
[,dba,d] [,bbcd2] [abb,d] [abb,d] [,da,c1] [abb,d2]";
74;;29r;Schaw an diß biltt;;;OT;;none;"[,,dca2] [,bdca1] [,acc,a] [,,dca3] [abd,a1] [da,c] [abd,a] \
[fb,d,b] [fd,,,b] [effc,a4] || [abb,d2] [,dba,d1] [,bdca] \
[,acc,a3] [da,c,a1] [ccd,,c] [aab,,d] [abd,a] [,efec] \
[aacc,a4] |";
75;;29r;Vidi una past:;;;OT;;none;"z3 [,a,,c1] [,da,c] [,da,c] [acd,a] [acd,a] [cdda2] c1 [cdda] \
[da,c] [cdda] [acd,a] [acd,a] [,dda{a}2] || \
[cdda2] c1 c [cdda2] [cdda1] [cdd{a}] [cdd{a}] [aab,,a]";
76;;29v;Jungfrewelein. Mi parto;;;OT;;none;"z1 [caa,c1] [da,c,a2] [caa,c4] z2 [cdda4] [acd,a1] [,da,c] \
[,cee,c2] [,cee,c1] [,cee,c] [,da,c3/2] [,da,c/] [,da,c1] \
[,cdca] [,dba,d] [,dd,,c] [aab,,a3] [,da,c1] [,cee,c2] [,aa,c1] ||";
