Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
54;;31v;Courante;;;cittern;;3;",a/ | ,a3/2 ,b/ ,a ,,c | ,,a1 ,,c ,a3/4 ,a/4 | [,ab3] | \
a1 ,d3/2 ,a/ | ,b1 [,bc3/2] ,d/ | ,a1 ,,c3/2 ,,a/ |";french4tab
55;;32r;Sarabande;;;cittern;;3;"[df1] d/ f c1 | [cee3/2] d/ [aab1] | [ab3/2] a/ ,d ,d | \
[,cc3/2] ,a/4 ,c ,d1 | [,de1] ,d/ a ,b1 |";french4tab
56;;32v;Ballet;;;cittern;;C;"[daaa3/4] ,,a/4 ,,a3/4 ,,c/4 [,aa3/4] ,a/4 ,a3/4 ,b/4 | \
[,aaa3/4] ,,,a/4 ,b/ ,a ,,c3/4 ,,,a/4 ,,c/ ,a | \
[,bc3/4] ,b/4 ,b3/4 ,a/4";french4tab
57;;33r;Ey Fayrfax schäme dich;;;cittern;;C;"[daaa2] ,d1 a | [,de3/2] ,b/ [,aa1] [,de] | [,bc1] [,aa] [,,ca3/2] ,,a/ | \
[daaa4] | z1 d ,d a | [cdc3/2] d/ f1 g |";french4tab
58;;33v;Aria;;;cittern;;3;"d1 f h | ,a1 ,c ,e | a3/2 c/ d1 | [cee2] [aab1] | d1 f h | \
[fh3/2] d/ c1 | d1 ,e a | [cee3] :||:";french4tab
59;;33v;Wenn der Winter ist vergangen;;;cittern;;C;",,a1 ,,a/ ,,c [,aa1] ,a | ,,a/ ,,c ,a ,b [,aaa1] ,,,a | \
[aba1] a/ c d1 ,a | [,,ca3/2] ,,a/ [daaa2] :||:";french4tab
60;;34r;Ihr grünen felder. Strobel;Strobel;;cittern;;3;"[aab1] a c/ a | ,e1 ,a z1 | [daaa1] d f/ d | c1 ,d z1 | \
[,aaa1] ,,c ,,,a | [,aaa3/2] ,b/ ,a1 |";french4tab
61;;34v;Allemande W.;;;cittern;;C;",b3/4 ,a/4 ,,c1 [aab3/2] a/ | f/ h g l/4 g [hkk1] [ffg] | \
f3/4 f/4 [da/] b [ab3/4] a/4 ,d/ a |";french4tab
62;;34v;Aria Kriegers;Adam Krieger;;cittern;;3;",,c1 ,,c ,,c | [,aa2] ,a1 | [,cc2] ,d1 | [,de3] | [,de1] ,d ,d | \
[acc2] [cdc1] | a1 [acc3/2] ,d/ | [cdca3] :||: c1 f c |";french4tab
63;;35r;Canarin;;;cittern;;3;"[,bc1] ,d [aba] | a3/2 ,d/ ,b1 | [df1] d f/ d | [bdc2] [aba1] | \
[df3/2] b/ a1 | [bd3/2] d/ a1 | [,bd3/2] ,d/ a1 | [,aaa3] :||:";french4tab
