PieceNr;Key;PageNr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;Pratum Musicum Longe Amoenissimum 1984
43;;52v;Amanti miei. A 3;;;OT;ConcR862;C;"[abb,d1] [,dda/] [,acc] [,bd,a/4] ,,,,c ,,,,d ,,,a [,acc] ,,a ,,c ,,d | \
,,c/ [,acc] [,acc] [,bdd] [,dff3/4] [,dff/4] [,dff/] [ab,,d] |";
44;;53r;Stella crudel. A 3;;;OT;;C;"f1 f/ f [a,d1] [a,d/] ,,d | \
[df,c1] [,f,c/] ,f [,dff] ,d [da] ,,,c | \
[cd,a/] [,d,a] [,db] a [c,de] [,,da] [abd] ,,d |";
45;;53v;Venga quel bel narciso. A 3;;;OT;ConcR863;C;"[,bd,a1] [,abc/] [,bdd] [,dff] [ab,,d] [,dff] [,abc] | \
[,bdd/] [,dda] [,a,c] ,,c [,,d,a1] :||: z/ [ab,,d/] | \
[ab,,d/] [ab,,d] [,dff] [a,,c/4] ,c [cd,a/]";
46;;54r;Se'l dolce sguardo. A 3;;;OT;;C;"[abd1] [abd] [abd/] [bd,a1] [bd,a/] | \
[abd/] [df,c] [cdf] [a,g] [c,f] ,e [df,c] [fcd] | \
[fcd/] [dfg] [c,f/4] ,f ,e/ [a,,c] :||:";
47;;54v;Del crud'amor. A 3;;;OT;ConcR866;C;"z/ [,abc/] [,abc3/4] [,bdd/4] [,dff/] [,bdd] [,abc1] | \
[,,def/] ,a [,,bcd1] [,,bcd/] [,,bcd1] [,,bc/] | \
[,,d,f/] ,,,e [,ab,,d] :||:";
48;;55r;Io son bell'e delicata. A 3;;;OT;ConcR821;C;",d/ d [b,,a] [,db] [b,dd/4] a [bd,a] d [fb,d/] [f,dd] | \
[da,c/] ,c [bd,a/4] ,,,c ,,,d ,,b [acd/] [fg,d1] [df,,d/] |";
49;;55v;Fuggit'amore. A 3;;;OT;;C;",,d1 [,c,,a3/4] ,d/4 [a,,ce3/4] ,,,a/4 [,acc/] ,a/4 ,,d | \
[,df,c/] ,,,,c/4 a [c,aa/] ,,a/4 ,,,c \
[,cde3/4] ,a/4 [ac,,e/] [,cd] |";
50;;56r;Se ben io volontan. A 3;;;OT;;C;"[,bd,a1] [,bd,a/] [,bd,a] [,bd,a] [,bd,a] [abd/4] ,d a b | \
a/ [abd] [,dda] [,bd] [,d,f] ,,f [ab,,d] [,bdd] |";
51;;56v;Vostro raro valor. A 3;;;OT;;C;"[,dff1] [,dff/] [,dfe] [aab] [acd] [cd,a] [f,da] | \
[cd,a/] [cd,a] [dab] [,ab/4] c [a,d/] ,c [,df] [,ab] | \
,d/ [,df] [a,d] ,c [,d,a1] :||:";
52;;57r;Ben mio. A 4;;;OT;;C;"[,bd,a2] [,abc/4] ,,a ,,b ,,d ,,b/ [aabc] | \
[cdda/] [dfg,d] [f,dd] ,d [effc] [ffg,a] [dfg,d] [dfg,d] | \
[bdda/] [bdda] [aadc] ,,c [acd,a] :||:";
53a;;57v;Fiamenga freda. A 3;;;OT;;C;"[acd1] [acd/] [acd] [cd,a1] [acd] | \
[da,c3/4] [da,c/4] [cef/] [a,g] [c,f] ,e [a,,c1] | \
z/ [acd/] [acd] [acd] [,df] [,cde] [cd,a3/4] [ac,c/4] |";
53b;;57v;Fiamenga freda;;;OT;;C;"[acd,a1] [acd,a/] [acd,a] [cdda,,a1] [acd,a] | \
[dab,,a3/4] [dab,,a/4] [caa,c/] [abbcd] \
[cefec/4] ,f/4 ,e ,f ,e ,c ,e [aaccca1] | \
z/ [acdca/] [acdca] [acdca] [,dfec] [,cde,c] \
[cdda,,a3/4] [ac,c,a/4] |";
54;;58v;Vola vola pensier fuor del mio petto. H in prima;;;OT;ConcR2821;C;"[aacc1] [aacc] [aacc/] [acd,a1] [aacc/] | \
[,efec3/2] ,,,,c/ [acc,e] ,,,b [aacc1] | \
[aacc1] :||: ,,,,a1 z/ ,,,c/ ,,a ,,c [acd1] |";
55;;59r;Amar donna che bella. A in prima;;;OT;;C;"[acd,a1] [acd,a] [acd,a/] [acd] ,,,,c [acd,a1] [acd/] [acd,a] \
[acd] ,,,,a [,ea,c1] ,,,,,a/ [,ea,c] a/4 ,e [aac,,a1] :||:";
56a;;59v;Het soude een meisken gaen om wijn, hout u canneken vaste. A 4;;;OT;ConcR935;C;"z1 [,dda/] [,dd] [bdda] [bdd] [dbb,d] [dbb] | \
[fb,d,b1] [,dda/] [,dd] [bdda/4] b [bdda/] [dbb,d1] | \
[fb,d,b1] [fb,d,b/] [fb,d] [fb,d,b] [fb,d] [dbbcd] [dbb] |";
56b;;60r;Het soude een meisken gaen om wijn, hout u canneken vaste. A 4;;;OT;ConcR935;C;"z1 ,d/ ,d [bd] [bd] [db] [db] | \
[f,,d1] [,dda/] [,dd] [bdda/4] d [fddd/] [effc1] | \
[fcd,a1] [fd/] [f,d] [fb] [fd] [da] [db] |";
57;;60v;Het voer een cuyper cuypen so ver in Duyschelant. A 4;;;OT;ConcR938;C;"z1 z/ [fdaa/] [fdaa] [fdaa] [hd,f,d] [hd,f,d] | \
[fdda1] [cdda/] [ffg,a] [db,cd] [cdda] [add,a] [acd,a] | \
[,,de,,a3/2] [fdaa/] [fdaa] [fdaa] \
[hd,f,d/4] [hd,f,d] [hd,f,d/] |";
58a;;61r;I'ay veu le cerf;;;OT;ConcR2062;C;"[cdda1] [cdda] [cdda] [cdda] | [cdda1] [ddf,,d2] \
[acd,a3/2] ,,b/ [cdda,,a1] :||: [cdda1] [aabc] [,da,c] \
[,b,cd] | [,dda1] [,,dca/] ,c/4 ,a [,cdca1] [,ddef,a] :||:";
58b;;61r;La medesimo il Tenor al ottaua;;;OT;ConcR2063;C;"[,dda1] [fdda] [fdda] [fdda] | \
[fdda1] [hd,f,d2] [fcd,a3/2] d/ [cdda1] :||: \
[fdda1] [dabc] [caa,c] [abb,d] | \
[,dda1] [fcd,a3/4] d/4 f d c a H[cdda,,a] :||:";
59a;;61r;Chantons buuons;;;OT;ConcR2064;C;"[cdf,c2] [ccde1] [acc,e] | [c,def1] [f,def] [edf,c/] c [cdf,c] ,,d | \
[h,ge/] g/4 e h g h/8 g e g [ccee,c1] :||:";
59b;;61r;La medesimo il Tenor al ottaua;;;OT;ConcR2065;C;"[hhi,,h2] [fc,e,c1] [ecc,e] | [cdda1] [cdda] [haa,,h3/4] f/4 \
h f e ,h | [egh,e/] ,h [,h,ge] ,g [ccee,c1] :||:";
60a;;61v;Passomezo in Basso;;;OT;;C;",,d/ ,a | [abd,a1] [abd] [aadc/] ,,c/4 ,,a [aac,,a] ,,d/8 ,,c ,,d ,,c ,,a ,,c | \
[abd,a/] ,,,c [abd] ,d [abd,a] [dabc] [,,da/4] d c/ |";
60b;;66r;Gailliarda in Basso;;;OT;;3;",,d/ ,a | [abd,a1] ,,,c/ ,d [abd,a1] f/ d [c,,a1] a/ c | \
[dab,,d1] ,,,a/ ,b ,a ,,d ,,b1 [dab,,d] c/ d |";
60c;;67v;Represa;;;OT;;3;"[acdca1] ,,d/ ,a [,c,,a] ,d a ,c [,ea,c] a ,c ,e | \
[aac,,a1] ,,,c/ ,c ,a ,,d [,ac,,a1] ,,,c a/ ,d |";
61a;;68v;Passomezo in Contratenore;;;OT;ConcR1241;C;",a/ ,c | [,daac1] [,daa] [,daac] [,caab] | \
[,aa,c/] ,c ,d ,c [,aa,c] c a ,d | \
[acd,a1] ,,,c/ c [acd,a] ,d ,c ,a |";
61b;;70r;Gaillarda in Contratenore;;;OT;ConcR183;3;",a/ ,c | [,da,c3/2] ,c/ [,aa,c1] [caa] [caa,c] a/ ,d | \
[acd,a1] ,,,c/ ,d [acd,a1] [acd] [acd,a] ,d/ ,c |";
62;;70v;Passomezo in Basso. À longue mesure;;;OT;;C;",,d/ ,a | [abd,a1] [abd] [abd,a3/4] ,d/4 [aac,,e3/4] ,,c/4 | \
[abd,a/] ,,,c [abd] ,d [abd,a/4] c/8 d f/4 d [c,da/4]";
63a;;72r;Passomezo de Haubois. Superius;;;OT;ConcR838;C;",d/ a | [cdda1] [fdd] [dda] [dabc] | \
[cdda1] ,,,a/ a [c,,a] ,d [a,,,a] c | \
[dab,,d/] ,,,a [dab] ,,,,,c [dab,,d] ,,,,a [dab,c] ,,,,a |";
63b;;74v;Gailliarde du precedente;;;OT;ConcR839;3;",,a/ ,,b | [,,daa,a3/2] ,,b/ ,,a ,,,c [,,aa,,a] ,,b ,,d ,,a ,,b ,,d | \
[,ab,,d1] ,,,a/ ,,d ,,b ,,a [,,,c,d] ,,a ,,b ,,,c ,,a ,,b |";
63c;;76v;Reprinse;;;OT;;3;"[,dda,,a1] ,,,a/ a [c,,a] e f1 [h,,,,a] f/ e | \
[f,,,a1] ,,,,a/ c a ,d [,c,,a1] ,,d f/ d |";
64a;;77v;Passomezo in Tenore;;;OT;;C;",,,c/ ,,a | [aab,,a1] [dab] [dab,,a] [caa,c/] a/4 c | \
[aab,,a/] ,,,c [aab] [,,d,,c] [,a,,,e] [,c,,a] [,d,,c] [a,,,e] | \
[cdda,,a1] [fdd] [fdd,,,a] [dab,,a] |";
64b;;79v;Galliarde in Tenore;;;OT;ConcR495;3;",,,c/ ,,a | [aab,,a1] ,,,c/ ,,d [aab,,a] c [dabc1] [cdda] [acd,a] | \
[cdd,,,a1] ,,,a/ a [c,,a] d [f,da1] [dabc] [caab] |";
64c;;81r;Gailliarda;;;OT;;3;"a/ c | [dabc1] ,,,,,a/ d [cdda1] [abb,d] [,daac] [,bdca] | \
[,aba,d1] ,,,a/ ,b ,a ,,d [,ab,,d1] ,,,a [aabc] |";
64d;;81r;La mesme autrement;;;OT;;3;"a/ c | [dabc1] ,,,,,a/ d [cdda1] [abb,d] [,da,c/] a [,bd,a1] | \
[,ab,,d1] ,,,a/ ,b ,a ,,d [,ab,,d1] ,,,a [aabc] |";
65a;;81v;Gaillarda;;;OT;ConcR13;3;"[,dda1] [,dda] [,dd] | [fdda1] ,,,,,,a/ d [cdda1] [acd,a] [,da,c] ,,c/ ,d | \
[,cdca3/2] ,a/ [,,d,a1] ,d/ a [cdda1] [cdd] |";
