Piece Nr;Key;Page nr;Name;Composer;Comment;Tuning;Concordances;TimeInz;Tab;TabNotation
65;;48;Sarab.de;;;guitar;;3;"g1 | X,,d1 ,,,,g/ ,,,d ,,,,f ,,d | ,,,,a1 ,,f ,g | \
[,,a,b1] (,b/ ,d) ([,d,c/4] ,b) ,,d/ | \
,,,d1 !strumdown![bbcd/] !strumup![bbcd] !strumdown!d1 |";french5tab
66;;48;double;;;guitar;;3;"g1 | X,,,d1 ,,,,g/ ,,,d ,,,,f ,,d | ,,,,a/ ,,f ,g ,,,a ,,,,b ,,a | \
,,,c/ ,,a ,b (,d ,b) ,,d |";french5tab
67;;49;gigue;;;guitar;;3;"!strumdown![ddddd/] (,,,f ,,,d) (,e ,d) ,,f | \
X[,dd3/2] ,,f/ ,,d1 | !strumdown![bbcd1] !strumup!X[bbcd3/2] ,b/ | \
!strumdown![bdddb3/2] ,b/ ,,,,b1 | \
!strumdown![ddddd/] (,,,f ,,,d) (,e ,d) ,,f |";french5tab
68;;49;Passac.lle;;;guitar;;3;"!strumdown![bdddb3] ,e1 | !strumdown![bbddb2] !strumdown!X[bbcd3] ,d1 | \
!strumdown![,dabd2] !strumdown!X,,a3 ,,c1 | \
!strumdown![bdd1] ,,,b !strumdown![bbddb3] ,,c1 | \
[,,d,b2] || !strumdown![bdddb3] d1 | \
!strumdown![deffd2] !strumdown![fefdd3] f1 |";french5tab
69;;50;gigue;;;guitar;;3;"g1 | X[,dd3/2] ,e/ ,g1 | !strumdown![dedfg1] !strumup![dedfg] [,g,,f] | \
[de,,d3/2] d/ [fe,d1] | !strumdown![gddd1] ,,,d g | !strumdown![fefdd3/2] d/ f1 | \
!strumdown![bdc1] !strumup![bdc] !strumdown![bdc] |";french5tab
70;;51;Sarab.de;;;guitar;;3;"!strumdown![deffd1] ,,,,d/ ,d !strumdown![deffd] ,g | \
X[,dd1] [,,a,b/] ,b [,da,b] ,e | X[,bb1] [,,cd/] ,a [,bcc] ,d | \
X[,aa1] ,,a/ ,d ,e ,,a |";french5tab
71;;51;gigue;;;guitar;;3;",,f/4 ,d/ | X,,e3/4 ,g/4 d/ ,g3/4 ,,,,g/4 ,d/ | \
!strumdown![deffd1] ,,,,d/ !strumup![deffd3/4] (,g/4 ,e/) | \
X[,dd3/4] ,,a/4 d/ [,bb3/4] ,,,d/4 ,d/ |";french5tab
72;;52;Passac.lle;;;guitar;;3;"!strumup![deffd3] !strumup![deffd1] | !strumdown![egfdd2] !strumdown!X[eddd3] !strumup![dedbb1] | \
!strumdown![dedbb2] !strumdown!X[bbbdd3] d1 | !strumdown![defdd2] !strumdown![ddffd3] X,,e1 | \
[,,f,d2] || !strumdown![deffd3] k1 | \
X[g,a2] !strumdown!X[eddd3] !strumup![dedbb1] |";french5tab
73;;53;Gigue;;;guitar;;3;"d1 | [,e,,d1] ,,f e | [,f,,g1] ,,d g | !strumdown![dedfg2] !strumup![dedfg1] | \
X[,bb3/2] (,d/ ,e1) | !strumdown![bbbdd1] (d/ b) ,e1 | \
!strumdown![bdbd2] ,b1 | !strumdown![daa2] !strumup![daa1] |";french5tab
74;;54;Prelude;;;guitar;;C;"!strumdown!X[dddff2] !strumdown![dedfg3/2] ,d/ | \
!strumdown![bbcd/] (,b ,d ,e) X[,ef,a3/2] ,d/ | \
X[,dd2] [,,fe1] ,d/ ,,f | [,,df1] (,,f/ ,,d) X[,,ca3/2] ,,a/ |";french5tab
75;;54;Alemande la Canossa;;;guitar;;C;"!strumup![dd,,b/] | !strumdown![dd,,b2] ,,,,a/ (,,,,d X,,,,b) ,,,,a | \
,,,,b1 ,,a '[,d,a] a3/4 c/4 | !strumdown![dd,,b2] !strumdown![fdfed1] d/ f | \
(!strumdown![gd1] Xd1) [,,ce] (,,d/ ,,f) |";french5tab
76;;56;Sarab.de;;;guitar;;3;"!strumdown![dd,,b1] !strumup![dd,,b/] f [g,a1] | \
X[f,,a1] ,g [d,,b] | !strumdown![bdc1] ,,,a/ b [,ee,d1] | \
!strumdown![bdddb1] ,,,,b [,e,,d] | ,,,d/ ,e X,d1 [ddd] |";french5tab
77;;56;Passac.lle;;;guitar;;3;"!strumdown![dddd/] !strumup!f !strumdown!g1 | \
!strumdown![fgfdd1] !strumdown![fffff/] !strumup!g !strumdown![iffff1] | \
!strumdown![lhhhh1] ,i !strumdown![fffff/] !strumup!h | \
!strumdown![fifff1] X[d,,a3/2] i/ | [d,a1] || ,,a/ ,,c ,,d1 |";french5tab
78;;57;gigue;;;guitar;;3;",d1 | ,,,,b1 ,,a [,,c,d] | ,,,a1 ,,d ,d | [dd,b1] X,b f | \
!strumdown!X[cdc2] || !strumup![fhh1] | !strumdown![fhh1] h i | \
[g,a1] ,i (,g/ ,i) |";french5tab
79;;57;gigue;;;guitar;;3;"d/ Xc1 | !strumdown![dd,,b2] ,d1 | [,,,aa3/2] ,,a/ ,,,e1 | \
[,,a,Xb3/2] (,,c/ ,,a1) | ,e3/2 ,,,d/ ,d1 | \
[dd,b3/2] (,d/ X,b1) | [bb,a3/2] (,b/4 ,a) d1 |";french5tab
80;;58;gigue aymée du Roy;;;guitar;;C;",d/ | !strumdown![dd,,b3/2] !strumup![dd,,b/] !strumdown![dd,,b3/2] [f,,a/] | \
[g,a3/2] !strumup![gd/] !strumdown![gd3/2] [c,,a/] | [d,,b3/2] ,d/ X,b3/2 f/ | \
!strumdown!X[cdc3/2] ,,,a/ !strumup![cdc3/2] f/ |";french5tab
81;;59;Prelude;;;guitar;;C;"!strumup![dd,,c/] | !strumdown![dd,,c3/2] !strumup![dd,,c/] !strumdown![fdfe3/2] !strumup![fdfe/] | \
!strumdown!h3/2 !strumup!h/ !strumdown![,b,cd3/2] !strumup![,b,cd/] | \
!strumdown![fccc3/2] !strumup![fccc/] !strumdown!X[fccc3/2] ,,,,c/ | \
[ff,,e3/2] d/ X[df,,e3/2] c/ |";french5tab
